,SS,influential
101895,1.3823354189018504,high
239859,1.1298332245371743,high
304458,1.3098463605559605,high
649950,1.6159824799936005,high
691807,1.8629439817787954,high
178014,1.5835903137752536,high
246768,1.1892231711047636,high
295276,1.7287217918093924,high
603590,1.3158297124290208,high
745584,1.2001834167742695,high
790988,1.4176048210076129,high
819344,1.5531382465591272,high
855773,0.6900028359979088,high
131627,1.9735886329616814,high
137580,1.573817048951088,high
170369,2.0694688629268287,high
207735,1.4925366995719873,high
240311,1.5710614763430313,high
289177,1.2001024892701075,high
309458,1.4721007630345364,high
332141,1.3655919629972442,high
519637,1.371007996859798,high
578028,1.7008368505825822,low
584923,1.8540966195218627,high
690254,2.4036269419689686,high
744265,2.0111457782433355,high
767068,1.5780558028815284,high
816890,0.9802173228664302,high
921965,1.2647306525675404,high
923384,2.246630199635181,high
532957,1.4006860450472272,high
805930,1.3597975355626166,high
123007,1.5908748816662805,high
490141,1.5960952105089083,high
42234,1.140453509313254,high
536122,1.6985926161501825,high
31380,1.1536585315217385,high
122754,2.0652139707904236,high
145443,0.7831266398414952,high
237205,1.5887085014051676,high
661524,1.7778131610448251,high
664817,1.7266320443541119,high
806336,1.682404857998372,high
100160,1.6363655777230846,high
577627,1.5495100572277913,high
1190,1.2310264255594343,high
74195,1.3369176461966283,high
101946,0.9991642198839086,high
134600,1.2920000627852677,high
164053,1.2697845642432175,high
165011,1.5295387695412257,high
170770,1.3434047357837857,high
279337,1.3232660061840744,high
290072,1.3490189584735273,high
316834,0.8990869282108049,high
361393,1.5624824516105227,high
411761,1.148146286984767,high
568861,1.3322505586172133,high
614823,0.9414543738584239,high
622805,1.3308330770056367,high
866491,2.148803108093741,high
887806,1.594622783077106,low
927555,1.2770189256249538,high
933172,1.9861842926136648,high
22124,1.7243151388216318,high
98465,1.047464471310803,high
105422,1.901311329622427,high
163386,1.3091315212961112,low
246611,1.8227478437088065,high
260206,2.170693460024402,high
287259,0.912043358013093,high
315403,1.3842364667890412,high
371258,1.1430828401021302,high
386253,0.9788180784388939,high
406294,1.547214353571199,high
424244,1.8218004275135846,high
490952,1.5375353142454697,high
501407,nan,0
561715,0.9852098835468208,high
588450,1.2679794924176735,high
673208,1.8439326183486358,high
749970,1.7612825827272418,high
751910,1.4401488939581883,high
925852,0.8893514599738844,high
957085,2.045181570943636,high
1098,2.265126133572586,high
223627,1.248060227264726,high
280956,1.8542583471407768,high
351733,1.2712058852202202,high
357406,1.8489275003454393,high
388198,0.8422652320684317,high
506513,1.3823990658219236,high
572737,0.9363253028990144,high
825251,2.072970712322971,high
120521,1.2925795275543397,high
180228,0.9905339304745495,high
799053,1.4595482537593707,high
824022,1.4952514221556024,high
16835,1.2770763362420832,low
22928,2.4491600209017075,high
46120,1.040599284152075,high
76057,0.8921817402269531,high
114342,1.626540601816985,high
137474,1.2431019238543206,high
138699,1.755833615395166,high
311674,1.1173670189614215,high
327765,1.1837956074401415,high
489676,2.580008919013892,high
6334,1.7070915776161155,high
150629,nan,0
695189,1.1466327329992776,high
804476,1.071326106466886,high
958533,1.3592640402868337,high
28692,1.1877642864481355,low
175553,1.0151694312281911,high
208404,1.6975901064790744,high
404463,1.2788877738819626,high
640675,1.5475255963052916,high
868092,1.2684088410954415,high
749222,1.4420153441521961,high
752945,1.3814230832721002,high
37730,2.6719453806652447,high
39258,1.2788985540780407,high
47789,1.9159234119979416,high
51992,1.584382982535935,high
78741,2.475080218847238,low
130173,1.8722182698556917,high
184043,2.1029563545994843,high
287917,1.6175410986812118,high
350840,2.007667038509914,high
387530,2.1340041489319828,high
490554,0.8010224647911253,low
612716,2.003500172321857,high
853492,2.0019851104958453,high
898479,0.8855222750077074,high
936425,1.9019832737488165,high
987491,2.276695631340074,high
11707,1.536426369640454,high
43714,2.0544286909699347,high
46925,1.4280252549097718,high
96964,2.1752112191084128,high
102399,1.194147228480421,high
110161,1.8601122697326937,high
130689,2.313452316559461,high
136871,2.109380401544411,high
277351,2.4283766009318284,low
481461,1.746020614159701,low
674662,1.7707730189377844,high
685647,1.5976561030946912,high
796734,1.4077715358071992,high
957296,0.9197909134826834,high
60306,1.7534192318533148,high
79016,0.9886107793723101,high
82584,1.322031676353637,high
162677,1.6335478969933734,high
172642,1.1088115785962707,high
184502,1.0453283684586219,high
204901,1.4513965454820654,high
211758,1.4512008664579918,high
212612,1.1366696160585874,high
213590,0.9058330746378621,high
244406,1.3573705255382111,high
742899,1.2054228234999405,high
396372,1.4148858630218053,high
21334,1.9022066179731447,high
816701,1.1723547683545688,high
825168,1.0230922146356831,high
46861,1.608642474985576,high
60679,1.4421437685234313,high
815039,1.3621198134438062,high
825208,1.4987879755572016,high
942252,1.6199407873341831,high
197424,nan,0
311680,1.380103513859805,high
617613,nan,0
619388,2.2212865909032535,low
245039,1.8650244481513416,high
389979,1.3456896192136898,high
778568,1.61801827659298,high
36537,1.5092836785642183,low
89021,1.2144516871505355,high
209142,1.9547794082359031,high
307135,0.9103690977769733,low
496405,1.4545928455456159,high
805785,1.5610953277804884,high
821571,1.6276064604319769,high
842351,1.534001485942956,high
113480,1.169081646220342,high
152312,1.0873552726564113,high
61479,1.5296168052324803,high
64145,1.2460159867189813,high
82013,1.5544539696663409,high
118544,1.7992855741055946,high
144458,1.0312176499694132,high
147200,1.536218695894311,high
162820,1.6849157594918345,high
329468,0.9912569434097693,high
524239,1.2176638689426325,high
894335,1.546823004036676,high
41420,0.9164183749237419,high
59819,1.5963258655201773,high
101953,2.4793555410268233,high
118289,1.0758094436160992,high
477875,1.2663243232941,high
500889,1.2734328715980952,high
509356,1.1877973846577528,high
569256,1.0424015850818966,high
572106,1.3035895658999943,high
594665,2.1160127850865216,high
664849,1.5756246358137864,high
746666,1.1466005658336436,high
865016,1.351171381988591,high
894847,1.8602980296524394,high
55128,1.5327612463634523,high
58616,1.4535835429253159,high
116984,1.9194995426091566,high
502806,1.5115068616401974,low
773642,0.7586998718960756,high
50251,1.7938848183029341,high
88180,2.689580751091377,high
798606,1.59355682802146,high
139908,2.0821353158194773,high
418740,1.7894474872680117,high
671953,1.8616865225356842,high
891063,1.5409823611679532,high
334740,2.6453521826879487,high
13393,1.347461175471849,high
59655,1.344362961235167,high
94224,2.017557381786107,high
128099,1.612277881433279,high
149973,1.4805178202619833,high
170454,1.4313721000624442,high
179764,1.8586479897900692,high
414251,1.7012782404281654,high
477377,1.2938725448543928,high
542976,1.9104645766133423,high
667169,1.1237385880113655,high
751738,1.0119260744185448,high
772526,1.2560650039422903,high
803242,1.317170475987258,low
806542,1.7589034730069049,high
817011,1.1204573613699205,high
894531,0.738675899266558,high
59293,1.3839274796421759,high
71336,1.4275542890409296,high
328352,1.5488341481388488,high
575051,1.90548100791068,high
65590,1.7423301457678682,high
189678,1.519635221763409,high
325459,1.6838196048644836,high
422405,1.5243702869397344,high
545726,1.7458256448328133,high
621944,1.3711472477750235,high
752314,2.1557544105103674,high
780625,1.7608038797058676,high
922911,1.1258746603633694,high
39013,1.4136229421681359,high
305363,1.3911851354078908,high
563834,1.2202577233967187,high
690456,1.9650125919083243,high
781766,1.1866175873770055,high
808944,1.7949753509551272,high
855836,1.325634168448067,high
178906,1.2578046033159744,high
219203,1.570223547018627,high
803026,1.234626386675272,high
11754,1.5722804523249394,high
22257,1.7339730428458247,high
137084,1.3353293684595493,high
159433,1.9149844847537958,high
177454,1.3315432851316535,high
228099,1.4263760622981767,high
235923,0.991818889483125,high
246960,1.694577280158213,high
290590,1.1312661156945598,high
302106,1.0046241511362808,high
354722,1.676904840623025,low
390477,1.4729124264293854,high
484145,1.6555445265495539,high
495338,1.0041503964305971,high
545074,1.8288353014728393,high
572499,1.3022014226157772,high
776093,1.138013665730423,high
790833,1.553571742755836,high
874289,1.3602281822617295,high
121590,0.8835381178536007,high
253142,1.257851809634147,high
567624,1.149512198092006,high
590441,0.9715881766194278,high
1433,2.3907612015297173,high
133057,1.8563269606486252,high
161808,2.0438934622919875,high
162269,2.633713305071763,high
162487,2.214791371007483,high
227088,1.8230692090036873,high
270491,1.4244958416853573,high
286115,2.3353582190015696,high
340446,1.930319417934835,low
368112,2.0305785184666347,high
495861,2.2962063241360107,low
749476,1.71604485408452,high
750131,2.5586248799053277,high
834108,1.7130536869716069,high
858375,1.2611864308696574,high
167320,1.4987467629183842,high
178122,1.9572709183763903,high
420133,1.58817563247347,high
820115,1.8308603920080435,high
393345,1.7125065945751041,high
564333,2.227002770763079,high
23290,1.2148051955619783,high
170690,1.1629603688114458,high
242966,1.018306811192897,high
490416,1.2098622068302598,high
494537,1.1708091733223496,high
641450,0.8613433724299119,high
748773,1.0513727578966794,high
7731,1.2280537891313577,high
7920,2.2932560171675394,high
543595,3.328218243627798,high
750742,1.7560112521450417,high
782768,3.3003850504959833,high
813946,1.966560065863724,high
12472,1.831863157366709,high
20050,2.2594581294536904,high
36106,1.4685376556185354,low
38490,1.5597050736999782,high
77175,1.6841949296120617,high
107139,0.9990535779158295,high
178536,1.0842402592662754,high
191947,1.7701850140591293,high
265440,1.2659005349533883,high
307461,1.7094579269681804,high
313284,2.0295237586245873,high
317417,1.5452946903036118,high
745964,1.4790563330290094,high
798792,1.889270623971265,high
92942,1.5442954432536895,high
127337,1.4670341510272757,high
183858,1.6265874594936216,high
217622,1.4038733606694525,high
238115,1.4379931171951503,high
531986,1.4158865489108368,high
617196,0.9687616410494413,high
645474,0.8778261278104037,high
809266,1.9712120022885677,high
852855,1.814482241988119,high
62823,1.890471565014792,high
202545,1.834902932357115,high
385611,0.8470332745828821,low
335,1.5466926982816545,high
158309,2.167593329922808,high
225930,1.2532747298670217,high
680476,1.9360534926794843,high
792530,1.3905346641186305,high
15318,3.8892329229972105,high
81561,1.6395474430866344,high
207127,1.9142533513251108,high
214162,1.8975844797925159,high
251375,2.6681148063424396,high
300749,1.6677098721718386,low
396676,1.7822808903239422,high
522768,3.2621107203093684,high
605375,2.481095680846396,high
792370,2.2069358034086566,high
798248,1.7980149519218807,high
944084,1.893307235114851,high
18258,1.478632589971454,high
169536,1.9241869490589827,high
740833,2.1629857239270662,high
44994,0.8981896405724701,high
129547,1.2194812593105697,high
205180,1.5360470496809768,high
369270,1.5706223257088896,high
611102,1.3562232210255134,high
617844,1.3646721833052915,high
625739,1.536990093679108,high
942529,1.5680625687266223,high
66570,1.6682869582758746,high
67528,1.4019815408800256,high
267354,1.3075822646306219,high
743929,1.358798779709791,high
809058,2.0809672616411,low
927627,1.2135334583218083,high
325401,1.6830149213941046,high
473554,1.8323972975497815,high
490549,2.946550560875749,high
674150,4.250882421746044,low
686897,1.2689931409727861,high
936190,2.1562531470458866,high
68780,1.3347888092397446,high
175196,1.2502984993390924,high
184187,1.3632306196313877,high
201760,1.0008039411278655,high
248392,0.8117721007179878,high
341137,1.2714745983558442,high
7448,1.39098027278394,high
127063,1.2409151454282221,high
155563,1.010342917074865,low
308871,1.2745862205202263,high
478246,2.1524416959037134,low
651156,1.1979483932465498,high
762731,2.0900920723239507,high
767016,1.403307479589906,high
117844,1.721189468049457,high
200791,1.657512836537887,high
320761,2.0971957698417674,high
410219,1.912244788720941,high
471156,1.585876887361011,high
573100,3.2942232914160945,low
791483,2.1174740383977673,high
238495,1.1697118605212344,high
493122,2.3527339457507335,high
543055,1.7878823777473472,high
596922,1.006481958967542,high
631774,1.7158992400254687,high
751019,2.167638117703535,high
925181,2.168394573228868,high
573978,1.603876915448144,high
152023,3.2837490779363345,high
16759,1.7763795986778959,high
39656,1.1169782202906569,high
160198,0.9004666366518421,high
172350,1.1115108615051377,high
301955,1.6621303602312265,high
770629,1.5816912743677414,high
47421,1.8230083255567588,low
106298,1.355640579893473,high
165663,2.280067908582992,high
193320,1.9695114725050527,high
299471,1.3066160153662552,high
745241,1.8434328520827417,high
897214,1.6937492382607944,high
34899,1.7329537703469322,high
51376,1.8832759057657578,high
167287,1.3948145261822957,high
219483,1.2443124849809835,high
290812,1.623533896356353,high
364399,1.268955607246091,high
809357,1.3214108826036686,high
842802,1.4351333478718908,high
990384,1.2966638231413314,low
71970,1.697135885987088,high
90389,0.8588170249580005,low
673114,1.2636466458101665,high
781172,1.1489786547115886,high
2411,0.8080763740034267,high
81017,1.059308569003061,high
147638,0.8858817922550264,high
186927,1.0758655121949452,high
300245,1.0417403709493955,high
675495,0.8528875171699676,high
826364,1.211932860712844,low
840000,1.3105332229161066,high
667794,2.1127925808388026,high
934721,1.6345816790783452,high
14651,1.623625505632734,high
70715,2.1038869335975052,high
144847,2.280293040704213,high
629609,2.0355415153189997,high
664378,2.883162943891065,high
765722,1.6197524040794495,high
814606,1.6112124390311569,high
868456,2.028169980274949,high
934069,2.260635394502344,high
944310,1.892905935608143,high
31685,1.6147182674220175,high
96613,1.729595031836705,high
117490,1.1734830311225022,low
147635,1.5071497803849974,high
159214,1.651921603100759,high
166785,1.5123136953001457,high
174557,1.8109033252440485,high
182900,1.2780761127429863,high
184091,2.852703002884129,high
204386,1.438454900676666,high
248798,1.2999609667282819,high
285272,2.0493581329343944,high
294923,1.9326560806209172,high
359016,2.052986529059384,high
359966,1.5356073164810644,high
688400,1.69244306326534,high
791120,1.7937958581437985,high
812046,2.3779598280642587,high
816387,1.9988235567038888,high
855405,1.4359118015926162,high
962339,1.7432343000412889,high
31067,1.7021625948592285,high
677781,1.5267657956084635,high
766893,1.600437208924824,high
772976,0.7766981722055324,high
814898,2.0069532523916185,high
15694,0.9105189209877775,high
29791,0.8738326830162428,high
29884,1.9804006239378498,high
31556,2.0791473875474877,high
36521,1.2375996298483303,high
79044,0.8130433410633626,high
112185,1.5943218187035182,high
145128,1.6619902173100467,high
212131,1.2780731003971066,high
240665,1.6496417363383762,high
326249,1.480647747790823,high
575522,2.2814176886909356,high
793425,1.7027209125533258,low
815537,1.6438557014237236,high
954964,1.6502289381134632,high
608701,1.6613991399662795,high
797881,1.1637189918973658,high
10412,1.813231964163753,high
21744,1.9217145456665532,high
103484,1.6345837839534514,high
600069,0.9855218691340321,low
774588,1.434651043690476,high
848034,1.5232454292955275,high
31274,1.5390443651646242,high
199995,1.4715796640279712,high
253861,0.8268515855545469,low
404434,1.6975547402243145,high
798992,1.6065864909366925,high
140176,1.58089290824861,high
61480,2.3572573968502493,high
131581,1.8321722834036756,high
162233,1.4962243191542262,high
781094,1.1796972358659827,high
111794,1.3357021283337758,low
161173,nan,0
227776,1.0436761554414586,high
398615,0.9302965062791806,high
607283,1.5745297243673668,high
32071,1.8120112753512936,high
98189,1.7065618659940769,high
193160,1.05718738072652,high
380704,1.7716850657141394,high
549797,1.6773792971639934,high
747506,1.9639194296545968,high
796741,1.9429167490056996,high
848784,1.7153156636028655,high
857203,2.0872835584009053,high
5882,1.6715349681730758,high
44764,1.780426579873017,high
75747,1.4821101131928778,high
97182,1.3963396728480384,high
936946,1.110502474586847,high
3595,1.8093501097580023,high
79960,2.118699462200583,high
150048,1.6991742678077566,low
203008,1.515820517597708,high
303626,1.0143058063870543,high
825924,1.3421829181807556,low
887619,0.8972233313183167,high
128440,1.8087486398444637,high
128495,1.7324572292340086,high
758453,2.2504799836879306,high
891264,1.9975983727864741,high
923033,1.8677084598263272,high
16281,1.7096219163242017,high
58549,1.8999917247910054,high
49774,1.0710180796848534,high
61044,1.9150232276782675,high
96379,1.617152083379417,high
467203,1.382599231245572,high
69986,2.51345073957081,high
72205,1.9518810443454646,high
159699,2.0324573424650603,high
294085,2.6186489636313772,high
637150,2.1290711699793365,high
806247,1.3029170966143642,high
14073,1.0719951935207679,high
16438,1.1741998865863472,high
64303,1.834335317648733,high
73421,1.0241589213583553,high
154530,1.3918366490192822,high
180263,1.6841916050128525,high
314600,1.4960917369807911,high
343930,1.4317043378130256,high
475932,1.4854025090980103,high
478426,1.291276816426646,high
485191,1.2267169560191515,high
501692,1.31712427201313,high
569914,1.7557796029883566,high
684240,1.1451896729204116,high
764181,0.918838598463673,high
790732,2.1597535853101855,high
866786,2.3289417756440014,high
939567,1.9045188434070475,high
78044,1.6503458729447693,high
5441,2.00073138729442,high
9441,4.626614008323437,low
572579,1.4723991406376455,high
38466,1.613503438733428,high
44703,0.9913896593898688,high
153590,1.3233351000987033,high
179205,1.6746894642811552,high
232564,1.9144245357614238,high
295545,1.638535336246664,high
626268,1.709997518265763,high
696015,1.5578813738659545,high
888730,1.4155841909143823,high
29067,1.5951828395118852,high
423267,1.794543885131154,high
483587,1.443939830735401,high
582313,1.8364973353517917,high
47033,1.4846714862087804,high
129761,1.5910977554135404,high
301619,1.2426552142373828,high
334193,1.2957157447961716,high
798662,0.9536830694188789,high
131841,1.0951946638958168,high
793227,1.6217452224174325,high
93322,1.1825080488634634,high
138063,1.020048338174095,high
160848,1.7703233799308031,high
328014,1.9892258966491272,high
641994,2.147603390806808,high
751592,0.9675540026043853,high
785380,1.6185759595895197,high
836312,1.1233059750199172,high
263937,1.3826821420282756,high
540883,1.8792673190662432,high
817754,1.7889341526115188,high
845775,1.181876698436178,low
864209,2.094076783633794,high
13387,1.509015813625932,high
70027,1.514773637833596,high
104455,1.5424532199578818,high
120953,1.4877280052758564,high
501081,1.5951632649538587,high
564726,1.776577048839317,high
784814,1.9724939986406589,high
40225,1.5135364020432283,high
418955,1.2232788330479785,high
491220,2.099453552568869,high
575012,1.953199879357195,high
597309,1.6692404508717107,high
801573,2.2956534502262333,high
806877,1.6642229521691971,high
830375,1.4198071625034352,high
33161,1.4221002656532793,high
590285,1.9017726121767162,high
607448,1.4883613110104827,high
766094,2.0380314413417326,high
944349,1.590400759579407,high
162930,1.2234282412823447,high
164093,1.7560149068410855,high
185948,1.81589592087451,high
260038,1.1662049996689967,high
368367,1.4058167871143958,high
378624,1.4111512790443361,high
29867,1.758430813233251,high
171728,1.5688111912655387,high
273531,1.3199570184268519,high
314113,2.021587688227908,high
81796,1.3514733045253011,high
119629,1.2090875766669502,high
290464,0.9761858319932234,high
764702,1.3938530028830098,high
845443,0.7756695474763521,high
305501,1.8020936794936961,high
103162,1.9104874020894766,high
213212,1.7635154124746282,high
302685,1.5828113412329516,high
384675,1.5381569295988984,high
834673,1.7861788483779657,high
489520,0.9547887582763082,high
671244,1.0625081438222348,high
766533,0.9783246217330104,high
78886,1.3785919869888106,high
80720,1.3035848404746047,high
137390,1.297944907891083,high
260212,1.3713946153113745,high
482677,2.303153440941444,high
567570,1.7681538703120518,high
789340,1.4101407860788377,low
831215,1.3790571478642693,high
895443,1.6501316149513006,high
53739,1.141864124337222,high
98081,1.483723900643516,high
106987,1.662543782356542,high
131681,1.5997468083040736,high
314155,1.1796567730526617,low
330575,1.7107621103286421,high
344275,nan,0
745915,2.0982202350912424,high
753985,1.750071414183629,high
794449,1.337062818954473,high
822777,1.0675283792284775,high
132449,1.8972236397574125,high
232701,1.2400814655667676,high
362437,2.0392771462340944,high
409968,2.0910206124290633,high
671156,1.2677383054370794,high
815236,1.5836160040687242,high
837946,2.1855559667678626,high
838300,1.6986829929153167,high
52900,1.7161312897259287,high
87985,2.2308017981721786,high
274321,2.1325512052756586,high
814852,1.7616037380279457,high
823012,2.3263134755956734,high
19701,1.711148292013683,high
34988,0.9847412673765867,high
44906,1.293794807603593,high
46527,0.9462244088111186,high
188190,0.9613936572683046,low
423305,1.6253287000823469,high
633181,1.5488881703030606,high
751604,1.1837416168795065,high
179379,1.180820076000346,high
188202,0.7516663756673213,high
224638,1.409317406776179,high
233066,1.6043476116219542,high
307025,1.3879027295602648,high
504928,0.8115443073895836,high
614339,0.9209337786501505,high
763301,1.1194341600310975,high
608945,1.8443884310604222,high
781370,0.8997093177688237,high
154998,1.2859437374309892,high
257544,1.0966842633128917,high
749734,2.380870778462232,high
855423,0.8370120135548408,high
341422,0.9504785812102967,high
591104,1.4067990569436484,high
688804,1.10302235258537,high
3829,1.3906241166064206,high
28166,0.778273686839813,high
59156,1.4590033102805362,high
76881,1.3458391925164486,high
276085,1.674121519758399,high
81194,0.9362950106713673,high
100854,1.0339981600215038,high
108826,1.9703331107098305,high
148477,1.2966037128913839,high
164594,1.7590767836452705,high
168958,1.8372141523763073,high
198162,1.9293664716278551,high
233228,1.9283220590269425,high
457807,0.9178362436039005,high
838195,1.1894065216074674,high
611877,0.9774742773691861,high
750203,1.1556006657257953,high
74970,1.9569964070346917,high
246022,1.5156584940528113,high
287604,0.8252811784298445,high
120010,1.4971470313679196,high
163420,1.4319587493699206,high
206407,2.2617368809146803,high
475334,1.593894040576084,high
479350,1.6626497525222592,high
486047,1.450774579026843,high
604075,1.7349867527055358,high
786613,1.7218496187386358,high
1416172,1.2345300453760673,low
16944,1.8128960649797872,high
129817,1.8799595916086507,high
165830,2.024851849874124,high
181376,1.4834294991900172,high
352171,0.9007450257222922,high
681340,2.0366164860518974,high
697350,1.3923576183044633,high
788508,2.306965333830682,high
798477,2.532880861531577,high
80780,1.7802816895145552,high
85410,1.72456709481268,high
142050,1.5697191114471625,high
174122,1.2444901224824079,high
177060,1.5497873062063365,high
307875,1.9987544923351348,high
345355,1.567973556667997,high
852997,1.0598321727903715,low
69534,3.0197677463487462,high
222436,2.608499633210526,high
251595,2.6442921280123253,high
297702,2.4570224381162937,high
520975,1.5089679366213804,high
680522,0.9702918104418348,high
97529,1.433504367687099,high
226380,1.22861601619725,high
680003,1.4381825792369443,high
789775,1.1734736148625624,high
798326,0.8594676748484342,high
800100,1.0565233341567783,high
928942,1.075456262580948,high
961688,1.5993741118184583,high
189644,1.3632175083506803,high
281254,1.8528629943689694,low
393789,1.7293508953198626,high
510805,3.049641964976624,high
530745,1.7417964713568916,high
583959,1.517914438658598,high
592954,3.9385691118182353,high
681171,1.7048212528834013,low
787960,1.7094444607989392,low
936206,2.291200451005664,high
941579,1.8642408543903248,high
7230,1.377158901751521,low
140816,0.770876245548486,high
252184,1.37652195121688,high
337631,0.9737331866837698,high
467853,0.7433041111546606,high
887348,1.7264111359134804,high
194703,1.9187177907944133,high
756656,1.5444466771375063,high
191063,1.0716606066177465,high
308932,1.0980889770496451,high
672011,1.5555522313077383,high
46794,1.740416483483934,high
99246,2.1717627305034717,high
162197,1.7777782676480653,high
169795,1.6508095831375844,high
377581,0.9474254368885411,low
570061,2.570020004667194,high
615489,1.4984653506139327,low
925528,0.8717741426964054,high
528221,1.6644907321995646,high
2330,1.5112737086120376,high
94210,1.0545809355512916,high
397042,1.3458250299355186,high
502199,1.00378296826469,high
548338,1.24742749830546,high
674332,0.8106418064054469,high
678408,1.3140168541967658,high
228299,0.6554030041698016,high
233862,1.203323001706004,high
243527,1.2846110307460745,high
463527,1.23335968527531,high
156043,1.6993540608161892,high
259800,1.3815992923298475,high
754879,1.5329587495649246,high
792925,1.5013069614651227,high
631579,1.8984862877690818,high
927736,1.750241366576413,high
955544,0.900355432980637,high
961234,1.9662966883603374,high
103324,1.4770616692492857,high
151787,1.128848589244361,high
305541,0.9843613155827544,high
278575,1.2874138884222899,high
567190,1.46805567702493,high
573870,1.6501399946464745,high
923618,1.8457088292069326,high
2993710,1.7926753696910163,high
228323,1.7489648189153335,high
74853,1.0737273189961056,high
921306,1.5541664626156442,high
190632,2.375815504407086,high
610706,2.0480799241910197,high
502163,2.201778459515918,high
75295,1.4207932937592556,high
173988,1.3157738073452723,high
190021,1.652847766976746,high
242861,1.2402198863479148,high
636474,1.2568425243387493,high
9680,1.235132085483777,high
172612,1.3927371137143991,high
932858,nan,0
607804,2.1551934146950456,high
407986,1.6564524498172677,high
814220,1.1113249648973793,high
161351,1.6109742651470331,high
268871,1.5357007894239505,high
333464,2.1124237561164643,high
193231,1.299983978405107,high
413524,1.919615808128235,high
104714,1.2917662249860986,high
35076,1.5038685762152253,high
161920,0.9328145617161571,high
239921,1.3263107615180227,high
332257,1.5093847029755945,high
482334,1.7392722891199097,high
748222,1.7161557069067022,high
129775,1.05771236516316,high
131624,1.4290683550568664,high
617370,0.9903741633740535,high
793845,1.3511941459219747,high
101795,0.7881760035760852,high
188432,1.1232407057038336,high
944206,1.1517430614305466,high
354158,1.7694014902089013,low
564239,1.79075268545359,high
