id,PC-1,PC-2,PC-3,PC-4,PC-5,genre,kmeans_10,kmeans_weighted_10,kmeans_20,kmeans_weighted_20
204386,-0.365235885,0.262569102,0.404228112,-0.173207915,-0.095708536,14,9,1,12,15
600069,-0.365235885,0.262569102,0.404228112,-0.173207915,-0.095708536,14,9,1,12,15
94210,-0.494695392,0.739799555,0.325232305,0.107379989,0.083103208,11,9,1,8,9
203008,-0.130108278,-0.284901019,0.343064982,0.181730574,-0.101034151,14,1,3,20,13
361393,-0.204195188,-0.124081521,0.397336356,-0.114289968,0.063699007,15,8,4,11,1
574772,0.030929023,-0.431512593,-0.25545403,0.282960941,0.028646224,14,2,2,14,12
1426748,-0.204195188,-0.124081521,0.397336356,-0.114289968,0.063699007,10,8,4,11,1
1589051,-0.204195188,-0.124081521,0.397336356,-0.114289968,0.063699007,15,8,4,11,1
490004,0.037354633,-0.523428478,-0.244314523,0.079679001,0.092005112,14,10,2,13,12
379125,-0.210051393,0.097886419,-0.195470931,-0.054083393,-0.108003007,14,5,6,5,17
247966,-0.303971385,0.468600906,-0.547118833,-0.050119722,-0.315270568,20,5,6,5,17
806336,-0.104170824,-0.165020035,-0.326358377,-0.383702464,0.223160153,12,4,7,1,20
742899,-0.390927357,0.582801467,-0.103529531,-0.039330817,0.091913268,11,5,6,17,9
154544,-0.097242435,-0.457750012,0.464881495,0.074065385,-0.038281399,14,1,3,7,13
858710,-0.361252923,0.37061646,0.01716382,-0.254586044,-0.084966941,6,9,1,12,9
61912,-0.48614465,0.780974557,0.326374091,0.269449159,0.201055986,6,9,1,8,9
74005,-0.48614465,0.780974557,0.326374091,0.269449159,0.201055986,11,9,1,8,9
764702,-0.48614465,0.780974557,0.326374091,0.269449159,0.201055986,11,9,1,8,9
43714,-0.126733603,-0.12671077,-0.148669456,-0.059835868,-0.013715833,14,6,7,19,2
117844,-0.203450094,-0.114357168,0.300640082,-0.149231581,0.013737779,6,8,4,11,1
291043,-0.145652586,-0.25988649,0.334309139,0.161740814,-0.201571975,14,1,3,20,13
239921,-0.212294825,-0.102571554,0.491852412,0.051712113,0.141229934,14,8,4,11,1
956707,-0.243416071,0.0083786,0.277737315,-0.028249086,-0.084130508,14,9,4,6,1
864209,-0.159837349,0.035732136,-0.364522726,-0.032769376,-0.100048287,14,5,7,5,14
163229,-0.14043916,-0.027426091,-0.349891492,-0.024163565,-0.068815324,14,6,7,9,14
604852,0.001222104,-0.413117254,-0.26967251,0.117424578,-0.090095612,14,2,9,14,12
678009,-0.426612597,0.558876776,0.365558615,0.16522015,0.175918951,7,9,1,8,15
781399,-0.401642386,0.762963212,-0.119928634,0.580715753,0.001719252,7,5,6,5,9
75747,-0.182337773,-0.237163455,0.512836537,-0.063848129,0.118151942,14,8,3,15,11
631774,-0.226921854,-0.055951589,0.290484606,-0.070592075,-0.000653438,14,8,4,11,1
944310,-0.244058237,0.164216388,-0.21227831,-0.201837011,-0.055744366,6,4,6,17,9
59156,-0.298386679,0.127032812,0.25149945,-0.1923963,0.001908709,2,9,1,12,15
486047,-0.04589537,-0.267959702,-0.298842451,-0.041596562,0.034186413,14,6,9,18,12
745964,-0.22183544,-0.00671018,0.291642748,0.134004179,0.10614082,14,8,4,11,1
175286,-0.330377571,0.218991078,0.230675399,-0.210667588,-0.062642263,6,9,1,12,15
811622,-0.291241477,0.29681342,-0.240005709,-0.139876317,-0.160054771,14,5,6,5,9
240252,-0.297955266,0.125552584,0.250023369,-0.205188802,-0.017781619,12,9,1,12,15
295756,-0.108155761,-0.089290856,-0.139337216,0.204227316,0.232448573,14,6,7,10,2
114342,-0.134004814,-0.036254801,-0.347912082,-0.044853095,-0.026591732,14,6,7,19,14
2674162,0.684388981,0.280358143,0.611277234,-0.01106258,-0.289017371,15,3,8,2,6
162677,-0.308758903,0.344350384,-0.054175838,-0.021536747,0.123075874,11,5,6,17,9
246611,0.015289022,-0.428568865,-0.263997648,0.283311814,-0.229648007,14,2,2,14,8
766893,-0.098977182,-0.09780209,-0.520005937,-0.189435338,0.046548979,15,6,7,19,14
899530,-0.091605387,-0.342319767,0.17080126,0.040224501,0.019071537,14,1,3,7,13
922728,-0.090513832,-0.182292512,-0.319737103,-0.125702635,0.036316739,14,6,9,19,20
131627,-0.146094362,-0.247087111,0.334643149,-0.034272741,0.138572295,14,8,3,15,11
625739,-0.067528643,-0.201688408,-0.212958319,0.179853767,0.116845692,14,2,9,10,18
237205,-0.205068184,-0.169256111,0.49714309,-0.121198956,0.074066235,14,8,4,11,11
615119,-0.41347301,0.40952465,0.377161723,-0.111702257,-0.109022656,14,9,1,12,15
1482685,-0.205068184,-0.169256111,0.49714309,-0.121198956,0.074066235,10,8,4,11,11
239827,-0.158483966,-0.040674298,-0.165693351,-0.035001418,-0.097024203,14,5,7,5,2
266063,0.764670357,0.090094406,0.558781932,-0.110027973,-0.139711654,15,3,8,2,5
605375,-0.137198826,-0.11350567,-0.152907591,-0.127790485,-0.022346422,6,4,7,19,10
181694,-0.389744592,0.410341615,0.101923418,-0.449176142,0.215635488,20,4,1,12,9
110161,-0.2277861,-0.082757325,0.482821027,0.077078351,-0.049101777,14,1,4,7,1
270491,-0.413107868,0.453813648,0.182108182,-0.179262372,-0.179493861,14,9,1,8,9
72041,-0.018443527,-0.366083607,-0.279521066,0.063629238,-0.092631688,14,2,9,18,12
337119,-0.162811077,-0.089769932,0.028295663,0.020307783,-0.065155186,14,1,4,20,1
617196,-0.443780331,0.691403169,0.34683698,0.488553764,0.08053147,14,9,1,8,9
138699,-0.070101429,-0.192233442,-0.311672829,0.079765834,0.009076392,14,6,9,18,18
833631,-0.123940781,-0.161931805,-0.143657929,-0.201193136,0.088208344,12,10,10,1,10
783909,-0.28854226,0.164384572,-0.033266259,-0.377093814,0.090818183,12,4,1,12,19
757342,0.073461261,-0.543318975,-0.424149431,0.157830778,-0.100087826,14,2,9,18,12
260206,-0.030393519,-0.350065251,-0.190333313,0.126064848,-0.073229734,14,2,2,14,8
190946,-0.348213327,0.327209318,0.025072976,-0.364512957,0.035041095,6,9,1,12,9
771438,-0.054249075,-0.206466575,-0.306892349,0.265011245,-0.117453061,14,2,9,14,18
120521,-0.339959673,0.163288226,0.428393548,-0.282094286,0.193727211,14,8,1,11,15
142767,0.568140754,0.84487234,0.052778324,-0.090996458,0.106541172,11,7,5,4,4
686897,-0.376316987,0.291912278,0.397640012,-0.095055988,-0.182562075,14,9,1,6,15
685647,-0.073267813,-0.16710006,-0.315818253,0.175680459,-0.070372316,14,2,9,9,18
38936,-0.350987964,0.288966765,0.217580867,-0.090712263,-0.147589072,14,9,1,12,15
68551,-0.085880661,-0.244395012,-0.124481542,-0.025388308,-0.075288197,6,2,2,13,8
311680,-0.262617452,-0.028899652,0.46556448,-0.021055145,-0.151238371,12,8,4,6,1
855531,-0.27895597,0.361252337,-0.433298734,0.013289958,-0.316526309,20,5,6,5,17
569685,-0.285144313,0.013742316,0.455377628,-0.22845178,0.06248522,15,8,4,11,1
289599,0.019795262,-0.452125477,-0.260144686,0.116222902,-0.094488949,14,2,2,14,12
354105,-0.066488369,-0.226042443,-0.21159575,0.163125397,-0.003070524,14,2,9,14,18
690254,-0.062190662,-0.300036243,-0.109458103,-0.013590004,0.092521892,14,10,10,16,3
740576,-0.505225536,0.746915939,0.124817161,0.061684456,-0.416522972,4,9,1,8,9
936206,-0.139908103,-0.09897407,-0.156372529,-0.067793952,-0.080543982,6,6,7,9,2
761179,-0.198809429,-0.144115971,0.400104791,0.00304115,-0.132879786,15,1,4,7,1
781837,-0.400841644,0.50880911,0.184067294,0.026409496,0.028876848,12,9,1,8,9
38490,-0.263640097,-0.033255017,0.467240989,-0.108789084,-0.012293568,14,8,4,11,1
193320,-0.08994516,-0.388309853,0.365381238,0.189541541,-0.060861103,14,1,3,7,13
267411,-0.41223342,0.348821776,0.383171574,-0.258202524,-0.073512502,12,9,1,12,15
952794,-0.361337786,0.407272422,-0.08156277,-0.246301546,-0.103123118,20,9,6,8,9
11707,-0.222264976,-0.066803721,0.291194069,-0.219533426,0.085365139,14,8,4,11,1
128099,-0.266464107,-0.0082966,0.463923534,-0.218917145,0.137301659,15,8,4,11,1
921965,-0.162808416,0.186888672,-0.365798644,0.198094626,0.551570125,14,6,7,19,14
31685,-0.289704913,0.235080275,-0.042931547,-0.170292533,-0.049911896,14,9,1,12,9
205627,-0.345002095,0.593833497,-0.180653559,0.337036788,0.143050702,16,5,6,5,9
260038,-0.469058513,0.542100696,0.346013072,-0.115642859,-0.245402862,20,9,1,8,15
262255,-0.14618814,-0.075939077,-0.159680089,-0.014888363,-0.156031391,15,5,7,9,2
367188,-0.167603116,-0.231832764,0.418473092,-0.011581567,-0.089668585,14,1,3,7,11
674887,-0.142831364,-0.184571009,0.043047944,-0.242412747,0.151374971,14,8,3,15,11
98465,0.859718648,-0.036481905,0.321030059,0.270724812,-0.187869015,14,3,8,2,5
478603,-0.106123182,-0.144679763,-0.328058158,-0.123981194,0.022933049,14,6,7,19,20
2784799,0.63796955,0.439858727,0.486826762,0.034647748,-0.366718928,14,7,5,2,6
211758,-0.327215517,0.347681611,-0.060984973,-0.12484437,0.053764471,11,4,6,17,9
326249,-0.151794415,0.053148969,-0.169299438,0.365379821,-0.037615584,14,5,7,9,2
744796,-0.368685782,0.403532794,0.010518081,-0.202614821,-0.129919973,9,9,1,8,9
46861,-0.336909172,0.365650384,-0.068963186,-0.169154201,-0.039356065,15,9,6,8,9
248392,0.473789879,0.930118141,0.49216467,-0.079832733,0.179212882,11,7,5,4,4
206967,-0.380743182,0.701557005,-0.102291515,0.393372438,0.328805691,11,5,6,5,9
209142,-0.196402455,-0.036661008,0.108060451,0.002762698,-0.0270321,14,8,4,6,1
824022,-0.303981168,0.041909666,0.44838288,-0.277138711,0.078413129,14,8,4,11,1
799053,-0.354091133,0.256872186,0.410045883,-0.086308879,-0.020164375,14,9,1,12,15
1276114,-0.354091133,0.256872186,0.410045883,-0.086308879,-0.020164375,16,9,1,12,15
170369,-0.092331181,-0.247723986,-0.124020112,-0.026781168,-0.016288052,14,10,2,13,8
798662,-0.425785497,0.737610054,0.160586888,0.61175703,0.047807458,18,5,1,8,9
2766592,-0.120082152,-0.341024814,0.349827256,0.002399648,-0.063660195,14,1,3,7,13
120010,-0.33007984,0.164394039,0.426020133,-0.231387175,-0.000558747,14,9,1,12,15
170879,-0.076533359,-0.468592962,0.377047296,0.07225066,-0.076994418,14,1,3,7,13
311074,-0.26084142,0.303546005,-0.227527581,0.068588755,0.026120766,7,5,6,5,17
608701,-0.319935195,0.183491302,0.239373737,-0.192924687,-0.032046771,2,9,1,12,15
1416172,-0.33007984,0.164394039,0.426020133,-0.231387175,-0.000558747,17,9,1,12,15
135273,-0.085701984,-0.174508914,-0.318178024,-0.096475934,0.102429531,15,6,9,19,20
128440,-0.000710244,-0.406343934,-0.271260821,-0.012778092,0.015245911,14,10,9,18,12
33666,-0.219740379,0.04743154,-0.003422439,0.002714112,-0.175047687,14,9,1,8,15
410219,-0.301632982,0.150331605,0.245708194,-0.23045442,-0.000462985,6,9,1,12,15
750742,0.001548327,-0.458627873,-0.07545141,0.331479289,-0.283251074,14,2,2,14,8
1006782,-0.385718305,0.533773878,-0.291071261,-0.423027277,0.038972468,2,4,6,17,9
994823,-0.153567431,-0.311483493,0.526377706,-0.012964371,-0.048725535,14,1,3,7,11
62823,0.049744394,-0.570524938,-0.238384742,0.158511454,-0.114297668,14,2,2,13,12
751019,-0.152379625,-0.152877057,0.038984444,-0.068140649,0.027737516,14,8,3,15,11
327735,-0.156974649,-0.316263597,0.527153749,0.037032289,-0.016744739,14,1,3,7,11
852007,-0.214543741,0.143089755,-0.389702509,-0.171667286,-0.074658414,14,5,6,17,17
136871,-0.119099294,-0.172806875,-0.14034218,-0.191500731,0.145251812,14,10,10,16,10
313284,-0.118936086,-0.166322259,-0.139654664,-0.059247394,0.029295906,14,10,10,16,10
424244,-0.134545418,-0.327115229,0.439375962,0.211573305,-0.234160428,14,1,3,20,13
549797,-0.38109586,0.4090087,0.007671118,-0.350389158,-0.017750396,6,9,1,12,9
850692,-0.173219449,-0.078347579,0.023455726,-0.04758577,0.007310021,14,8,4,11,1
293896,-0.235716152,-0.012686479,0.282977294,-0.037695162,-0.048250788,14,8,4,6,1
37730,-0.066778554,-0.274880372,-0.114764878,0.195339521,-0.179582472,14,2,2,14,8
75100,-0.116670303,-0.173087494,-0.139517385,-0.081932688,0.021207673,14,10,10,16,10
78044,-0.244335301,0.081107905,0.081294834,-0.183131427,0.055289096,15,9,1,12,15
144458,0.696261304,0.260428034,0.525089155,-0.236081006,0.063944456,15,3,8,2,6
961234,-0.181619096,-0.171516527,0.314810647,-0.014909797,-0.079024952,14,1,3,7,11
246885,-0.369848567,0.451307168,-0.089040609,0.028886967,-0.358369934,20,5,6,8,9
840402,-0.245050089,0.046914759,0.275101891,0.043049396,0.01323245,14,9,4,6,1
406294,0.081701206,-0.467434472,-0.425551451,0.455120018,-0.027267829,14,2,9,14,18
479028,-0.34061393,0.429580113,-0.268155511,-0.231189942,-0.133633945,20,5,6,17,9
492521,-0.389879683,0.291961826,0.396165907,-0.205922636,-0.080540354,14,9,1,12,15
51909,-0.255689103,0.292969981,-0.419900101,-0.034623319,-0.254151468,14,5,6,5,17
540883,-0.017728762,-0.336381752,-0.185098722,0.335439512,-0.093835328,14,2,2,14,8
891063,0.023870744,-0.355939941,-0.455546897,0.355457377,-0.167066967,14,2,9,14,18
500992,-0.128686783,-0.356212237,0.54028752,0.189690965,-0.070240709,14,1,3,7,13
232564,-0.116075341,-0.07797223,-0.337663517,-0.017696026,-0.010234436,14,6,7,19,14
22124,0.025709298,-0.425411403,-0.164699993,0.51656421,-0.224367711,14,2,2,14,8
33161,-0.245145367,-0.061695781,0.476341821,-0.172587409,0.1590708,15,8,4,11,1
667794,-0.318347011,0.269766132,0.038752284,-0.184699762,-0.085781917,9,9,1,12,9
112789,0.021564104,-0.396798289,-0.264056776,0.289511635,-0.051299932,14,2,9,14,12
743929,-0.297238166,0.483269208,-0.348359479,0.215349083,0.035403441,11,5,6,5,17
38466,-0.454708395,0.494454366,0.355174356,-0.044412908,-0.295801653,20,9,1,8,15
424302,-0.313090279,0.295065376,-0.055175498,-0.116744299,-0.132390489,11,9,1,8,9
354189,-0.276770665,0.312742716,-0.424982562,-0.346080656,0.017799893,12,4,6,17,17
957296,0.689862043,0.515931836,0.122957494,0.000984536,0.172482808,11,7,5,4,16
6334,-0.46688666,0.52458401,0.34844715,-0.107941426,-0.276311728,20,9,1,8,15
30250,-0.486343068,0.739198278,0.328771817,0.244798165,0.06493183,4,9,1,8,9
610706,-0.223094676,0.121480635,-0.202298585,-0.102141172,-0.104022666,14,5,6,5,17
2165952,-0.217114451,-0.146053355,0.490343844,-0.09626416,-0.042256842,14,8,4,11,1
5953,-0.057759407,-0.236605115,-0.305624812,0.104434482,-0.109685827,14,2,9,14,18
29884,-0.131412603,-0.022633331,-0.347599159,-0.024813895,0.036486978,14,6,7,19,14
958533,-0.37439233,0.574539555,-0.096443552,0.058425811,0.122565711,11,5,6,8,9
629609,-0.187043541,0.012977419,-0.180652922,-0.169675614,-0.030306188,6,4,6,17,19
955773,-0.244495883,0.298098458,-0.024580713,0.223642523,0.485699126,7,4,6,17,9
667669,-0.203296974,0.036950589,0.389325875,0.373259638,0.237834858,8,1,4,7,1
2264745,-0.201845932,-0.139103887,0.398710667,-0.029335535,-0.120272043,14,8,4,7,1
36521,-0.066940743,-0.04353268,-0.225581802,0.60813846,0.187242418,14,2,7,10,2
227527,-0.191424755,0.105129731,-0.279336014,-0.115845675,0.27013756,6,4,6,19,19
299471,0.90139931,0.045146291,-0.151055273,0.172531549,-0.136007673,14,3,8,3,7
480086,-0.093700533,-0.213067264,-0.12751885,0.054710967,-0.038333226,14,2,2,10,8
923033,-0.201035019,-0.099055403,0.298884787,0.101568245,-0.208374538,14,1,4,6,1
590479,-0.189772052,-0.166582364,0.407864804,0.050866746,0.000474153,14,8,4,7,11
607448,-0.2803604,0.035221177,0.452222147,-0.21896026,0.06395032,15,8,4,11,1
775877,-0.042023568,-0.153729432,-0.498883313,0.288820456,-0.221554753,14,2,9,9,18
159699,-0.180580498,0.11208107,-0.473074395,-0.114951151,-0.108493144,6,5,6,5,17
266160,-0.342080299,0.517213278,-0.466088575,-0.27677432,-0.048715729,9,5,6,17,17
378624,-0.20973405,0.197759609,-0.392159727,-0.069453772,0.044115505,11,5,6,17,17
522768,-0.032825257,-0.33761239,-0.287700393,-0.101064067,0.024895503,6,10,9,18,12
560208,-0.411569606,0.395366667,0.378912429,-0.133657121,-0.086456815,14,9,1,12,15
1176481,-0.25398022,0.082821422,0.268559535,0.059634598,-0.043740104,14,9,4,6,15
2639628,-0.15144426,-0.030290049,-0.260888233,-0.135820462,-0.069312953,14,5,7,17,14
5501,0.009170004,-0.445171053,-0.167713153,0.256593764,-0.125679533,14,2,2,14,8
673486,0.692946839,0.260766485,0.429922378,-0.248978018,-0.069978957,12,3,8,2,6
815039,-0.220199133,0.21318273,-0.493869805,-0.258184391,0.023608925,2,4,6,17,17
127369,-0.476291811,0.804553983,0.329881193,0.310366933,0.398428271,11,9,1,8,9
279337,0.720437196,0.370170869,0.140597497,-0.197995812,0.02150926,15,7,8,4,16
640208,1.00697039,-0.202201872,-0.286037166,0.174678184,-0.297013136,14,3,8,3,7
863790,-0.015671342,-0.433429301,-0.083314051,0.138015932,-0.126102678,14,2,2,13,8
472925,-0.124214277,-0.422953018,0.547837123,0.050059296,-0.053819538,14,1,3,7,11
274321,-0.288105168,0.384944091,-0.43861301,-0.15091144,-0.141694169,9,5,6,5,17
894335,-0.413568473,0.485981717,0.083695544,-0.12602056,-0.253227842,15,9,1,8,9
640675,-0.383435514,0.659172648,-0.10403455,0.188149282,0.305963508,11,5,6,17,9
140499,-0.230048271,0.002849595,0.476240021,0.366379645,-0.0295346,14,1,4,20,1
318085,-0.013531202,-0.374687087,-0.27822377,0.084483137,-0.115130884,14,2,9,14,12
855423,0.56717428,0.621455586,0.447387188,-0.182311788,-0.191206474,14,7,5,4,6
869487,-0.351134862,0.449250284,0.115793686,0.122998365,0.274436152,7,9,1,8,9
44764,-0.136831042,-0.308343901,0.342416032,-0.066244064,0.05119798,14,8,3,15,11
988471,-0.483128523,0.806360094,0.227673422,0.375549044,0.007030452,13,9,1,8,9
71209,-0.282550718,0.377928697,-0.436093171,-0.072546273,-0.222656761,14,5,6,5,17
175579,0.03055924,-0.515833538,-0.155224454,0.145813326,-0.059987958,14,2,2,13,8
192382,-0.02268409,-0.294238831,-0.287815661,0.175379656,0.035750327,14,2,9,18,18
405522,-0.114063299,-0.102627792,-0.335358408,-0.01778934,-0.059692188,14,6,7,9,14
825251,0.027615412,-0.436922087,-0.258368917,0.292165047,-0.146090203,14,2,2,14,8
840102,-0.240565827,0.001060918,0.279857516,0.019132083,-0.100147613,14,9,4,6,1
7920,-0.050726022,-0.276585858,-0.205070856,0.243468876,-0.234029677,14,2,2,14,8
184043,-0.084949274,-0.322719296,0.17078518,0.255397486,-0.138898137,14,1,3,20,13
559405,-0.114438197,-0.370859536,0.355413352,-0.188610059,0.122417628,12,8,3,15,11
422405,0.030954393,-0.420935335,-0.448621749,0.115008267,-0.052651532,14,2,9,18,12
102985,-0.320677706,0.205501986,0.233645552,-0.093425268,-0.162516151,20,9,1,6,15
130689,-0.164666323,-0.028406204,-0.169566715,-0.030911141,-0.127410371,14,5,6,5,2
186312,-0.332901679,0.12416436,0.431679005,-0.373324743,0.156000107,12,8,4,11,15
290812,0.003679548,-0.276269487,-0.276447874,0.442777847,0.174633286,14,2,9,14,18
542549,-0.434103555,0.502566594,0.36392643,-0.092229307,0.065716621,11,9,1,12,15
607028,-0.428632394,0.581941414,0.358612444,0.206819406,0.065692307,7,9,1,8,15
790797,-0.198054841,-0.202080874,0.502265158,-0.152346275,0.040490162,12,8,4,11,11
272567,-0.252271512,0.091566832,-0.015537077,-0.313442999,0.088474928,11,4,1,12,15
285232,-0.151003947,-0.290859014,0.430051636,-0.05534968,-0.033587716,14,8,3,7,11
661524,-0.178739373,-0.235950795,0.511671223,-0.138303486,0.169806812,15,8,3,15,11
136640,-0.265440632,0.304641277,-0.42332152,-0.191534051,-0.128821134,6,5,6,5,17
409954,-0.259439238,0.305687831,-0.514662106,-0.205809733,-0.089305633,6,5,6,17,17
548338,-0.336107938,0.419232899,-0.071044145,-0.007724718,0.042956547,11,5,6,8,9
592954,-0.088646636,-0.247193115,-0.124461643,-0.004101578,-0.09263717,6,2,2,13,8
36106,-0.134429884,-0.017111173,-0.349460308,-0.007680203,0.029753005,14,6,7,19,14
328288,-0.296423178,0.091226415,0.445074066,-0.09663053,0.05041305,14,8,4,11,1
332141,-0.31044071,0.054255759,0.446080002,-0.229249101,0.030697701,14,8,4,11,1
351733,-0.185736924,-0.090544709,0.499819623,0.368597395,0.081115283,14,1,4,7,1
925450,-0.13929162,-0.108000267,-0.153696838,-0.06974947,-0.015003426,14,6,7,19,2
987621,-0.028597165,-0.328817216,-0.288116293,0.011381947,-0.054601826,14,2,9,18,12
69534,-0.10321377,-0.38225118,0.359248674,0.139301182,-0.157823802,14,1,3,7,13
